phase,format,item,trial,duration_ms,status
QUERY,vortex,q1,1,19130,OK
QUERY,vortex,q2,1,20064,OK
QUERY,vortex,q3,1,10566,OK
QUERY,vortex,q4,1,51128,OK
QUERY,vortex,q5,1,18648,OK
QUERY,vortex,q6,1,9724,OK
QUERY,vortex,q7,1,16887,OK
QUERY,vortex,q8,1,69266,OK
QUERY,vortex,q9,1,17662,OK
QUERY,vortex,q10,1,6846,OK
QUERY,vortex,q11,1,20871,OK
QUERY,vortex,q12,1,7450,OK
QUERY,vortex,q13,1,11536,OK
QUERY,vortex,q14a,1,30479,OK
QUERY,vortex,q14b,1,38719,OK
QUERY,vortex,q15,1,8635,OK
QUERY,vortex,q16,1,15418,OK
QUERY,vortex,q17,1,13262,OK
QUERY,vortex,q18,1,19435,OK
QUERY,vortex,q19,1,11523,OK
QUERY,vortex,q20,1,8907,OK
QUERY,vortex,q21,1,29088,OK
QUERY,vortex,q22,1,39925,OK
QUERY,vortex,q23a,1,29332,OK
QUERY,vortex,q23b,1,29586,OK
QUERY,vortex,q24a,1,12427,OK
QUERY,vortex,q24b,1,11546,OK
QUERY,vortex,q25,1,16162,OK
QUERY,vortex,q26,1,13149,OK
QUERY,vortex,q27,1,18298,OK
QUERY,vortex,q28,1,15784,OK
QUERY,vortex,q29,1,14222,OK
QUERY,vortex,q30,1,10658,OK
QUERY,vortex,q31,1,13209,OK
QUERY,vortex,q32,1,6665,OK
QUERY,vortex,q33,1,11310,OK
QUERY,vortex,q34,1,10740,OK
QUERY,vortex,q35,1,6462,OK
QUERY,vortex,q36,1,14828,OK
QUERY,vortex,q37,1,14123,OK
QUERY,vortex,q38,1,10721,OK
QUERY,vortex,q39a,1,31046,OK
QUERY,vortex,q39b,1,31318,OK
QUERY,vortex,q40,1,9725,OK
QUERY,vortex,q41,1,2602,OK
QUERY,vortex,q42,1,8885,OK
QUERY,vortex,q43,1,13301,OK
QUERY,vortex,q44,1,4169,OK
QUERY,vortex,q45,1,8045,OK
QUERY,vortex,q46,1,16989,OK
QUERY,vortex,q47,1,21167,OK
QUERY,vortex,q48,1,11064,OK
QUERY,vortex,q49,1,9070,OK
QUERY,vortex,q50,1,10319,OK
QUERY,vortex,q51,1,3248,OK
QUERY,vortex,q52,1,9163,OK
QUERY,vortex,q53,1,10862,OK
QUERY,vortex,q54,1,11265,OK
QUERY,vortex,q55,1,9730,OK
QUERY,vortex,q56,1,14664,OK
QUERY,vortex,q57,1,17561,OK
QUERY,vortex,q58,1,23103,OK
QUERY,vortex,q59,1,17957,OK
QUERY,vortex,q60,1,11842,OK
QUERY,vortex,q61,1,16347,OK
QUERY,vortex,q62,1,10823,OK
QUERY,vortex,q63,1,10798,OK
QUERY,vortex,q64,1,26469,OK
QUERY,vortex,q65,1,12722,OK
QUERY,vortex,q66,1,14982,OK
QUERY,vortex,q67,1,30386,OK
QUERY,vortex,q68,1,16584,OK
QUERY,vortex,q69,1,8830,OK
QUERY,vortex,q70,1,14035,OK
QUERY,vortex,q71,1,10949,OK
QUERY,vortex,q72,1,35654,OK
QUERY,vortex,q73,1,9166,OK
QUERY,vortex,q74,1,15370,OK
QUERY,vortex,q75,1,27385,OK
QUERY,vortex,q76,1,5023,OK
QUERY,vortex,q77,1,13771,OK
QUERY,vortex,q78,1,23125,OK
QUERY,vortex,q79,1,16747,OK
QUERY,vortex,q80,1,15647,OK
QUERY,vortex,q81,1,7610,OK
QUERY,vortex,q82,1,13804,OK
QUERY,vortex,q83,1,7175,OK
QUERY,vortex,q84,1,7086,OK
QUERY,vortex,q85,1,9032,OK
QUERY,vortex,q86,1,7233,OK
QUERY,vortex,q87,1,10922,OK
QUERY,vortex,q88,1,108110,OK
QUERY,vortex,q89,1,13146,OK
QUERY,vortex,q90,1,26245,OK
QUERY,vortex,q91,1,6973,OK
QUERY,vortex,q92,1,5197,OK
QUERY,vortex,q93,1,18108,OK
QUERY,vortex,q94,1,9623,OK
QUERY,vortex,q95,1,18789,OK
QUERY,vortex,q96,1,37214,OK
QUERY,vortex,q97,1,9334,OK
QUERY,vortex,q98,1,11394,OK
QUERY,vortex,q99,1,13343,OK
QUERY,orc,q1,1,9033,OK
QUERY,orc,q2,1,15060,OK
QUERY,orc,q3,1,14934,OK
QUERY,orc,q4,1,52692,OK
QUERY,orc,q5,1,24050,OK
QUERY,orc,q6,1,11025,OK
QUERY,orc,q7,1,25807,OK
QUERY,orc,q8,1,69157,OK
QUERY,orc,q9,1,24527,OK
QUERY,orc,q10,1,11671,OK
QUERY,orc,q11,1,24728,OK
QUERY,orc,q12,1,7455,OK
QUERY,orc,q13,1,14543,OK
QUERY,orc,q14a,1,37377,OK
QUERY,orc,q14b,1,56908,OK
QUERY,orc,q15,1,10759,OK
QUERY,orc,q16,1,21567,OK
QUERY,orc,q17,1,19649,OK
QUERY,orc,q18,1,23316,OK
QUERY,orc,q19,1,17881,OK
QUERY,orc,q20,1,10099,OK
QUERY,orc,q21,1,58757,OK
QUERY,orc,q22,1,64181,OK
QUERY,orc,q23a,1,39470,OK
QUERY,orc,q23b,1,37392,OK
QUERY,orc,q24a,1,16387,OK
QUERY,orc,q24b,1,15662,OK
QUERY,orc,q25,1,24463,OK
QUERY,orc,q26,1,19596,OK
QUERY,orc,q27,1,26415,OK
QUERY,orc,q28,1,17248,OK
QUERY,orc,q29,1,20341,OK
QUERY,orc,q30,1,10014,OK
QUERY,orc,q31,1,16121,OK
QUERY,orc,q32,1,14144,OK
QUERY,orc,q33,1,15995,OK
QUERY,orc,q34,1,14712,OK
QUERY,orc,q35,1,15323,OK
QUERY,orc,q36,1,21854,OK
QUERY,orc,q37,1,24282,OK
QUERY,orc,q38,1,14071,OK
QUERY,orc,q39a,1,54519,OK
QUERY,orc,q39b,1,63299,OK
QUERY,orc,q40,1,12340,OK
QUERY,orc,q41,1,2158,OK
QUERY,orc,q42,1,14503,OK
QUERY,orc,q43,1,18654,OK
QUERY,orc,q44,1,7466,OK
QUERY,orc,q45,1,9407,OK
QUERY,orc,q46,1,25952,OK
QUERY,orc,q47,1,27353,OK
QUERY,orc,q48,1,15008,OK
QUERY,orc,q49,1,13880,OK
QUERY,orc,q50,1,14866,OK
QUERY,orc,q51,1,14882,OK
QUERY,orc,q52,1,17031,OK
QUERY,orc,q53,1,18658,OK
QUERY,orc,q54,1,14753,OK
QUERY,orc,q55,1,15135,OK
QUERY,orc,q56,1,15578,OK
QUERY,orc,q57,1,20324,OK
QUERY,orc,q58,1,26084,OK
QUERY,orc,q59,1,22529,OK
QUERY,orc,q60,1,16167,OK
QUERY,orc,q61,1,26482,OK
QUERY,orc,q62,1,12572,OK
QUERY,orc,q63,1,16744,OK
QUERY,orc,q64,1,34340,OK
QUERY,orc,q65,1,18770,OK
QUERY,orc,q66,1,17974,OK
QUERY,orc,q67,1,36123,OK
QUERY,orc,q68,1,26342,OK
QUERY,orc,q69,1,11855,OK
QUERY,orc,q70,1,20063,OK
QUERY,orc,q71,1,16455,OK
QUERY,orc,q72,1,69028,OK
QUERY,orc,q73,1,14508,OK
QUERY,orc,q74,1,20593,OK
QUERY,orc,q75,1,29981,OK
QUERY,orc,q76,1,7772,OK
QUERY,orc,q77,1,22769,OK
QUERY,orc,q78,1,30979,OK
QUERY,orc,q79,1,22421,OK
QUERY,orc,q80,1,31222,OK
QUERY,orc,q81,1,7800,OK
QUERY,orc,q82,1,24712,OK
QUERY,orc,q83,1,6757,OK
QUERY,orc,q84,1,7000,OK
QUERY,orc,q85,1,10968,OK
QUERY,orc,q86,1,9659,OK
QUERY,orc,q87,1,13405,OK
QUERY,orc,q88,1,179530,OK
QUERY,orc,q89,1,19986,OK
QUERY,orc,q90,1,40106,OK
QUERY,orc,q91,1,5831,OK
QUERY,orc,q92,1,9954,OK
QUERY,orc,q93,1,24028,OK
QUERY,orc,q94,1,12974,OK
QUERY,orc,q95,1,20748,OK
QUERY,orc,q96,1,63430,OK
QUERY,orc,q97,1,12519,OK
QUERY,orc,q98,1,16423,OK
QUERY,orc,q99,1,13621,OK
QUERY,parquet,q1,1,7709,OK
QUERY,parquet,q2,1,44736,OK
QUERY,parquet,q3,1,13130,OK
QUERY,parquet,q4,1,53869,OK
QUERY,parquet,q5,1,20760,OK
QUERY,parquet,q6,1,11374,OK
QUERY,parquet,q7,1,22416,OK
QUERY,parquet,q8,1,75896,OK
QUERY,parquet,q9,1,33234,OK
QUERY,parquet,q10,1,11000,OK
QUERY,parquet,q11,1,23444,OK
QUERY,parquet,q12,1,7248,OK
QUERY,parquet,q13,1,13488,OK
QUERY,parquet,q14a,1,34505,OK
QUERY,parquet,q14b,1,55171,OK
QUERY,parquet,q15,1,9737,OK
QUERY,parquet,q16,1,18018,OK
QUERY,parquet,q17,1,19342,OK
QUERY,parquet,q18,1,17632,OK
QUERY,parquet,q19,1,20220,OK
QUERY,parquet,q20,1,10408,OK
QUERY,parquet,q21,1,38734,OK
QUERY,parquet,q22,1,44616,OK
QUERY,parquet,q23a,1,33847,OK
QUERY,parquet,q23b,1,37445,OK
QUERY,parquet,q24a,1,13867,OK
QUERY,parquet,q24b,1,17321,OK
QUERY,parquet,q25,1,24443,OK
QUERY,parquet,q26,1,13778,OK
QUERY,parquet,q27,1,24649,OK
QUERY,parquet,q28,1,11062,OK
QUERY,parquet,q29,1,21195,OK
QUERY,parquet,q30,1,10558,OK
QUERY,parquet,q31,1,18336,OK
QUERY,parquet,q32,1,11477,OK
QUERY,parquet,q33,1,16764,OK
QUERY,parquet,q34,1,15739,OK
QUERY,parquet,q35,1,15358,OK
QUERY,parquet,q36,1,20097,OK
QUERY,parquet,q37,1,18508,OK
QUERY,parquet,q38,1,15738,OK
QUERY,parquet,q39a,1,41679,OK
QUERY,parquet,q39b,1,39975,OK
QUERY,parquet,q40,1,11265,OK
QUERY,parquet,q41,1,2469,OK
QUERY,parquet,q42,1,15213,OK
QUERY,parquet,q43,1,15203,OK
QUERY,parquet,q44,1,8064,OK
QUERY,parquet,q45,1,8747,OK
QUERY,parquet,q46,1,22457,OK
QUERY,parquet,q47,1,26392,OK
QUERY,parquet,q48,1,13570,OK
QUERY,parquet,q49,1,10912,OK
QUERY,parquet,q50,1,16143,OK
QUERY,parquet,q51,1,14748,OK
QUERY,parquet,q52,1,13301,OK
QUERY,parquet,q53,1,16724,OK
QUERY,parquet,q54,1,15163,OK
QUERY,parquet,q55,1,13455,OK
QUERY,parquet,q56,1,16915,OK
QUERY,parquet,q57,1,19802,OK
QUERY,parquet,q58,1,21744,OK
QUERY,parquet,q59,1,20872,OK
QUERY,parquet,q60,1,14603,OK
QUERY,parquet,q61,1,32923,OK
QUERY,parquet,q62,1,12937,OK
QUERY,parquet,q63,1,16753,OK
QUERY,parquet,q64,1,29011,OK
QUERY,parquet,q65,1,16921,OK
QUERY,parquet,q66,1,16539,OK
QUERY,parquet,q67,1,35911,OK
QUERY,parquet,q68,1,24336,OK
QUERY,parquet,q69,1,10204,OK
QUERY,parquet,q70,1,20127,OK
QUERY,parquet,q71,1,18207,OK
QUERY,parquet,q72,1,46756,OK
