phase,format,item,trial,duration_ms,status
QUERY,parquet,q73,1,14643,OK
QUERY,parquet,q74,1,22452,OK
QUERY,parquet,q75,1,29448,OK
QUERY,parquet,q76,1,8858,OK
QUERY,parquet,q77,1,19144,OK
QUERY,parquet,q78,1,28820,OK
QUERY,parquet,q79,1,20596,OK
QUERY,parquet,q80,1,25676,OK
QUERY,parquet,q81,1,8187,OK
QUERY,parquet,q82,1,18094,OK
QUERY,parquet,q83,1,7135,OK
QUERY,parquet,q84,1,6999,OK
QUERY,parquet,q85,1,10497,OK
QUERY,parquet,q86,1,8751,OK
QUERY,parquet,q87,1,13771,OK
QUERY,parquet,q88,1,162281,OK
QUERY,parquet,q89,1,20184,OK
QUERY,parquet,q90,1,27824,OK
QUERY,parquet,q91,1,6681,OK
QUERY,parquet,q92,1,8092,OK
QUERY,parquet,q93,1,25168,OK
QUERY,parquet,q94,1,11950,OK
QUERY,parquet,q95,1,20016,OK
QUERY,parquet,q96,1,51355,OK
QUERY,parquet,q97,1,13321,OK
QUERY,parquet,q98,1,14627,OK
QUERY,parquet,q99,1,13984,OK
